3	1000	11.905682200	8.598050600	3.836449200	4.692757200	
3	1064	15.263860200	10.099352800	4.617571800	6.118899400	
3	1128	18.505763000	12.226845200	5.893342800	7.406088200	
3	1192	21.875420800	14.157727600	6.885619200	8.846216800	
3	1256	25.551424200	16.586029800	9.102377000	10.304753800	
3	1320	29.906574600	19.823900800	11.618069200	12.424433800	
3	1384	41.979373000	25.545056200	18.844527600	21.113496400	
3	1448	56.283743600	32.810991400	27.877900200	27.077873000	

3	27.659	17.481	13.1709	12.2480
