1	1000	16.323626000	17.949539800	19.193617400	19.588612800	
1	1064	20.043627400	21.945687600	23.628066400	23.706665000	
1	1128	24.319111200	26.433161400	28.488663200	28.652543800	
1	1192	28.677065600	31.439565800	34.058621800	34.129737000	
1	1256	33.707949000	36.667670800	39.729944600	39.866058600	
1	1320	39.419538200	42.575725800	46.290060400	46.415150600	
1	1384	45.506801000	48.707670200	53.380876200	53.612280200	
1	1448	52.473966400	55.918592000	61.547780000	62.553309800

1		32.5589	35.205	38.2897	37.1905
