1792	1457.880618	5844273219.000000000	739289915.000000000	912.950590	1205586.000000000	1205584.000000000
1856	1336.811757	6638459672.000000000	829479370.000000000	1034.648860	1293162.000000000	1293160.000000000
1920	1579.341439	7235962829.000000000	930040966.000000000	1119.579194	1383810.000000000	1383808.000000000
1984	1632.338387	8177209263.000000000	1040450212.000000000	1236.024784	1477530.000000000	1477528.000000000
2048	2277.677898	8814761071.000000000	1172599555.000000000	1361.054717	1574322.000000000	1574320.000000000
