1	3024407	.113922000	.017019600	
1	23724407	.960203800	.133399800	
1	44424407	1.796313400	.249278200	
1	65124407	2.634088000	.365974800	
1	85824407	3.470387800	.481777400	
1	106524407	4.602202800	.598139200	
1	127224407	5.498386800	.714232000	
1	147924407	6.391974000	.829344400	
1	168624407	7.285330200	.946827200	
1	189324407	8.179483600	1.061806600	
1	210024407	9.073619200	1.177778400	
2	3024407	.113935600	.011722800	
2	23724407	.959796600	.071861200	
2	44424407	1.797032000	.131142200	
2	65124407	2.635521800	.189222600	
2	85824407	3.470366600	.246605800	
2	106524407	4.604614600	.309295600	
2	127224407	5.497742000	.367893400	
2	147924407	6.391263800	.425169600	
2	168624407	7.287910000	.487137000	
2	189324407	8.194998800	.547952600	
2	210024407	9.073081200	.601284200	
3	3024407	.113936200	.008927200	
3	23724407	.960084000	.047914800	
3	44424407	1.796884800	.087782000	
3	65124407	2.633989200	.126382200	
3	85824407	3.471579600	.167154000	
3	106524407	4.601919000	.204863000	
3	127224407	5.496355200	.245953800	
3	147924407	6.390408200	.285591200	
3	168624407	7.287063200	.324432000	
3	189324407	8.178909400	.363483600	
3	210024407	9.076392600	.406499000	
4	3024407	.113935600	.006557400	
4	23724407	.959581600	.036735200	
4	44424407	1.796378000	.066561400	
4	65124407	2.633844400	.097194000	
4	85824407	3.470382600	.127695600	
4	106524407	4.601987800	.157033600	
4	127224407	5.499725800	.183453800	
4	147924407	6.390460600	.216945600	
4	168624407	7.285267600	.244306000	
4	189324407	8.180063600	.274170600	
4	210024407	9.073965800	.305904600	
